상품명,종류,가격(원),칼로리(kcal),탄수화물(g),단백질(g),지방(g)
비비고) 새우계란죽,기타,3900,200,27,7,7
퀘이커) 찰옥수수,기타,2400,200,27,13,7
행복담기) 철판구이 계란꼬치 햄치즈,기타,2500,201,13,17,9
롯데) 초단백질바,영양바류,1200,205,17,9,11
양반) 쇠고기미역국,기타,5000,205,33,5,6
salad foret) 리코타 닭가슴살 에그 샐러드,샐러드,4300,207,17.46,4.88,4.49
피그인더가든) 큐브 스테이크 볼,샐러드,4800,209,9,14,13
gs25) 고소한 구운란,단백질,2600,209.4,3.3,20.1,12.9
HBAF) 구운양파맛 소시지,단백질,2000,210,5,11,16
브레디크) 제주녹차 휘낭시에,기타,1700,210,18,3,14
퀘이커) 서리태,음료,2400,211,32,8,6
HBAF) 허니버터맛 소시지,단백질,2000,215,6,10,17
gs25) 비빔참치 삼각김밥,기타,1000,217,27,7,9
오뚜기) 단호박죽,기타,4900,220,48,3,1.5
피플러스) 단백질바베리,영양바류,2000,220,20,12,11
퀘이커) 그레인,음료,2400,222,29,9,8
퀘이커) 딸기,음료,2400,222,29,9,8
양반) 단호박죽,기타,4500,225,49,2,2.1
오늘의 샐러드) 크래미아 샐러드,샐러드,1890,225,14,4,17
피플러스) 단백질바 너츠,영양바류,1000,230,18,12,12
풀무원) 브런치샐러드 에그베이컨,샐러드,2300,235,23,3,15
홈푸트) 양치승의 왕큐브 닭가슴살 떡갈비,단백질,2900,237,3.3,26.4,13.2
사조대림) 한입에꼬치다 매운맛,단백질,2300,240,12,17,14
오늘의 샐러드) 고구마 아몬드 샐러드,샐러드,1890,240,26,2,14
비비고) 전복죽,기타,4500,245,46,6,4.1
셀렉스) 프로틴너츠바,영양바류,1600,245,18,12,14
닥터유) 단백질바,영양바류,1500,249,13,21,12
gs25) 베이컨 참치마요 삼각김밥,기타,1500,250,44,8,4.7
피그인더가든) 탄단지 닭가슴살바베큐 볼,샐러드,5000,250,22,18,10
햇반) 사골곰탕 국밥,기타,4200,250,54,6,1.3
편스토랑) 진또배기 마늘 계란프라이 짜장밥 삼각김밥,기타,1200,253,37,6,9
비비고) 통단팥죽,기타,4500,255,55,8,0.6
gs25) 케이준치킨에그 샐러드,샐러드,4100,259,5.22,8.09,6.62
피그인더가든) 탄단지 고구마에그치즈 볼,샐러드,5000,259,20,11,15
롯데햄) 의성마늘 직꾸닭,단백질,2800,260,9,11,20
오뚜기) 쇠고기미역국밥,기타,4800,260,51,6,3.4
하림) 더미식 오곡밥,기타,2800,260,59,6,0
하림) 더미식 잡곡밥,기타,2800,265,57,8,0.9
gs25) FULL 전주비빔 삼각김밥,기타,1500,268,43,6,8
gs25) 207 후랑크,단백질,2300,270,11,16,18
gs25) 닭가슴살 쌀국수 샐러드,샐러드,4900,270,43,16,3.8
사조대림) 오븐구이 한입에 꼬치다,단백질,2500,270,8,17,19
하림) 더미식 흑미밥,기타,2800,270,59,6,1.2
햇반) 황태국밥 ,기타,4200,270,54,8,2.3
하림) 더미식 귀리쌀밥,기타,2800,275,55,7,3
gs25) 킬바사 후랑크,단백질,2200,276,6.4,10.8,22.9
브레디크) 제주녹차타르트,기타,1700,287,35,3,15
gs25) FULL 참치마요 삼각김밥,기타,1500,290,42,8,10
gs25) 잠봉햄 루꼴라 샐러드,샐러드,4300,290,23,11,18
청정원) 사천식마라탕,기타,7400,290,19,18,16
하림) 더미식 현미쌀밥,기타,3200,290,65,6,0.8
gs25) 위대한 치즈 소세지,단백질,1700,295,2.2,14.3,25.5
gs25) 청양 참치마요 삼각김밥,기타,1500,297,46,8,9
gs25) 매콤제육쌈밥 김밥,기타,2600,300,48,9,8
gs25) 치킨스테이크 도시락,기타,4800,300,28,41,2.5
유어스) 육즙팡팡 치즈 소시지,단백질,2000,300,4,15,25
햇반) 소고기 육개장국밥,기타,4800,310,61,7,4.4
양반) 밤단팥죽,기타,4500,315,70,8,0.6
유어스) 오모리 김치찌개국밥,기타,4200,315,60,7,5
짐키친) 로스티드비프,기타,3800,319,45,28,3
gs25) 로스트치킨 샌드위치,기타 ,4000,320,51,15,6
하림) 더미식 백미밥,기타,2300,320,68,6,2.7
햇반) 직화불고기 덮밥,기타,4800,320,58,11,4.9
gs25) 참치김치 김밥,기타,2400,325,51,10,9
유어스) 스모크닭다리,단백질,4900,330,2,33,21
gs25) 소고기 고추장 김밥,기타,2500,333,52,11,9
허닭) 단호박 닭가슴살 샌드위치,기타,3500,335,37,15,14
삼립) 페스츄리 핸디피자 콤비네이션,기타,2500,336,35,13,16
gs25) 바싹불고기 & 매콤제육 삼각김밥,기타,1900,337,65,10,4.1
오뚜기) 강된장 보리밥,기타,4800,340,63,9,6
gs25) 아삭햄치즈 샌드위치,기타,2700,344,35,15,16
gs25) 3단 참치샐러드 샌드위치,기타,2500,350,35,10,19
